0,1,2
20190105,1.0,10.0
20190103,0.0,1.0
20190101,0.5,1.0
20181231,0.5,6.0
20181230,0.5,7.666666666666667
20181229,0.8333333333333334,7.666666666666667
20181223,1.0,6.5
20181222,0.0,3.0
20181220,1.0,10.0
20181217,1.0,8.0
20181213,0.0,1.0
20181205,0.0,10.0
20181128,0.0,1.0
20181124,1.0,8.0
20181123,0.5,8.0
20181118,1.0,10.0
20181114,0.0,7.0
20181106,1.0,10.0
20181028,1.0,10.0
20181022,1.0,10.0
20181021,1.0,6.0
20181019,1.0,10.0
20181017,0.0,6.0
20181015,0.75,8.0
20181013,1.0,9.0
20181009,0.75,8.0
20181008,0.0,2.0
20181004,1.0,10.0
20181002,1.0,10.0
20180928,1.0,9.0
20180927,0.0,7.0
20180926,0.5,8.0
20180922,0.5,10.0
20180921,0.0,8.0
20180920,0.5,10.0
20180915,1.0,8.5
20180910,0.0,10.0
20180908,1.0,10.0
20180906,0.5,8.0
20180905,0.5,5.0
20180903,1.0,8.0
20180901,1.0,9.0
20180831,0.0,6.0
20180828,0.0,2.0
20180826,0.3333333333333333,4.0
20180819,1.0,6.0
20180817,0.75,7.5
20180815,1.0,10.0
20180814,0.0,1.0
20180813,1.0,10.0
20180812,0.0,6.0
20180809,1.0,10.0
20180805,0.0,8.0
20180804,0.5,10.0
20180801,0.0,5.0
20180731,0.0,1.0
20180730,0.0,1.0
20180729,1.0,9.0
20180728,1.0,10.0
20180727,0.0,1.0
20180725,1.0,10.0
20180721,1.0,8.0
20180718,1.0,10.0
20180712,1.0,10.0
20180711,1.0,10.0
20180710,0.0,9.0
20180708,0.7142857142857143,9.285714285714286
20180704,0.0,6.0
20180703,0.0,2.0
20180701,1.0,10.0
20180627,0.75,10.0
20180626,0.5,7.0
20180623,1.0,10.0
20180621,0.3333333333333333,4.0
20180620,1.0,10.0
20180618,0.5,10.0
20180522,1.0,8.0
20180517,0.0,10.0
20180513,0.5,7.0
20180512,0.0,4.0
20180505,0.0,8.0
20180503,1.0,7.0
20180502,1.0,8.0
20180501,0.0,6.0
20180429,0.0,6.0
20180428,0.0,6.0
20180426,0.0,5.0
20180418,0.25,5.0
20180416,1.0,10.0
20180409,0.0,4.0
20180404,1.0,10.0
20180322,1.0,10.0
20180317,1.0,10.0
20180314,1.0,8.0
20180313,1.0,9.0
20180311,1.0,10.0
20180309,1.0,10.0
20180306,1.0,6.0
20180228,1.0,9.0
20180225,0.5,8.0
20180224,1.0,10.0
20180221,0.0,3.0
20180219,0.75,7.5
20180218,0.5,5.5
20180217,0.75,9.5
20180216,0.5,6.0
20180215,0.8333333333333334,6.666666666666667
20180206,0.0,5.0
20180203,0.375,3.5
20180202,0.0,10.0
20180131,1.0,9.0
20180129,0.0,10.0
20180128,0.5,8.0
20180126,0.625,7.0
20180125,0.0,2.0
20180124,0.5,5.5
20180122,0.3333333333333333,2.3333333333333335
20180119,0.5,10.0
20180117,1.0,10.0
20180115,1.0,7.0
20180114,0.5,6.0
20180113,1.0,10.0
20180110,0.5,8.0
20180109,1.0,7.0
20180107,0.5,7.5
20180105,0.5,6.0
20180104,0.0,3.0
20180103,0.375,7.0
20180102,0.75,9.5
20180101,0.5,8.0
20171231,0.25,6.0
20171229,1.0,10.0
20171228,1.0,9.0
20171227,1.0,7.0
20171226,0.3333333333333333,9.0
20171225,0.8333333333333334,10.0
20171224,0.0,10.0
20171222,1.0,10.0
20171220,1.0,9.0
20171217,0.25,5.5
20171216,0.75,5.5
20171215,1.0,7.0
20171209,0.5,8.5
20171208,0.5,1.0
20171207,0.5,7.0
20171206,0.5,5.5
20171205,0.0,4.5
20171203,0.75,5.5
20171129,0.0,9.0
20171124,0.0,7.0
20171122,0.0,6.0
20171116,0.0,2.0
20171114,0.0,1.0
20171112,0.25,8.0
20171111,0.0,5.0
20171110,0.5,5.0
20171105,1.0,7.0
20171030,0.5,7.0
20171028,1.0,9.0
20171026,0.25,5.0
20171025,0.0,7.0
20171024,0.0,5.0
20171023,0.16666666666666666,3.0
20171022,0.5,8.666666666666666
20171021,0.5,5.0
20171020,0.0,1.0
20171016,0.5,5.0
20171014,0.0,5.0
20171011,0.0,9.0
20171010,0.8125,8.75
20171009,0.375,6.5
20171008,0.5666666666666667,7.266666666666667
20171007,0.25,5.375
20171005,0.3333333333333333,5.333333333333333
20171004,0.5,8.0
20171003,0.5,7.0
20171002,0.0,7.0
20170929,1.0,10.0
20170928,1.0,8.0
20170927,1.0,8.0
20170925,1.0,6.0
20170924,0.0,1.0
20170922,1.0,9.0
20170921,0.0,7.0
20170916,0.75,5.0
20170914,0.3333333333333333,5.666666666666667
20170913,0.5,8.0
20170911,0.0,1.0
20170909,0.0,5.0
20170907,0.0,5.5
20170905,0.5,10.0
20170902,1.0,8.5
20170901,1.0,9.0
20170831,1.0,10.0
20170826,1.0,9.0
20170824,0.5,6.0
20170823,0.0,7.0
20170822,0.0,4.0
20170820,1.0,9.0
20170819,0.0,1.0
20170818,1.0,7.0
20170816,1.0,5.0
20170815,1.0,9.75
