,집계날짜,검색량,리뷰,평점,영화코드,영화명,해당일매출액,일일관람객,일일스크린수,일일상영횟수,리뷰수
0,2017-12-20,40.45518,76.02001539645882,84.5188606620477,20150976,신과함께-죄와 벌,2984150800,406365,1538,6818,2598
1,2017-12-21,45.02858,74.01448109412712,82.85599356395821,20150976,신과함께-죄와 벌,2974413400,401449,1582,6955,2486
2,2017-12-22,57.65721,72.52625760088446,81.45936981757879,20150976,신과함께-죄와 벌,4062412398,497810,1653,7458,1809
3,2017-12-23,47.66907,75.43709290366816,82.55742200891326,20150976,신과함께-죄와 벌,8037759271,968372,1818,8426,2917
4,2017-12-24,64.29942,76.23014839885447,82.65295495964592,20150976,신과함께-죄와 벌,10584623400,1268537,1887,8801,3841
5,2017-12-25,58.72074,77.5406718783013,82.77202619902809,20150976,신과함께-죄와 벌,10020464250,1212822,1912,8641,4733
6,2017-12-26,89.25466,70.35342379299465,77.87630167245187,20150976,신과함께-죄와 벌,3195369100,430026,1662,7816,3169
7,2017-12-27,84.97896,74.09071459135644,79.65340179717589,20150976,신과함께-죄와 벌,3021329100,495106,1428,5998,2337
8,2017-12-28,55.95944,72.57495590828923,79.26513815402704,20150976,신과함께-죄와 벌,2803729600,377807,1505,6547,1701
9,2017-12-29,53.18304000000001,71.7741935483871,79.58064516129029,20150976,신과함께-죄와 벌,4414381670,532755,1565,7190,1240
10,2017-12-30,58.40578000000001,71.19032047089601,77.55395683453237,20150976,신과함께-죄와 벌,7556661043,908290,1666,8257,1529
11,2017-12-31,45.72538,69.03567447045708,75.95317725752506,20150976,신과함께-죄와 벌,8568170200,1023957,1663,8332,1794
12,2018-01-01,45.54632,69.23076923076923,75.78525641025642,20150976,신과함께-죄와 벌,7715149100,916652,1644,7957,1872
13,2018-01-02,65.20116,66.57203690560681,74.03122782114973,20150976,신과함께-죄와 벌,2205440800,294339,1446,7019,1409
14,2018-01-03,100.0,68.96404109589042,76.875,20150976,신과함께-죄와 벌,1622619700,215987,1241,5724,1168
15,2018-01-04,44.60791,69.93156544054747,76.70658682634729,20150976,신과함께-죄와 벌,1629898600,217032,1226,5525,1169
16,2018-01-05,36.18379,73.03063457330416,78.52297592997812,20150976,신과함께-죄와 벌,2251471243,268181,1211,5497,914
17,2018-01-06,59.13709,72.10090361445782,78.47891566265059,20150976,신과함께-죄와 벌,4605271262,548337,1260,5536,1328
18,2018-01-07,73.55409,73.99672399672399,78.58312858312857,20150976,신과함께-죄와 벌,4191233200,502236,1258,5464,1221
19,2018-01-08,50.15855,69.54397394136808,77.01411509229098,20150976,신과함께-죄와 벌,1307197900,174358,1171,5192,921
20,2018-01-09,28.27095,71.54929577464789,77.4225352112676,20150976,신과함께-죄와 벌,1165823200,156343,1182,5155,710
21,2018-01-10,42.80012,73.86731391585761,82.0711974110032,20150976,신과함께-죄와 벌,1061472000,141824,1170,5039,618
22,2018-01-11,37.99374,75.6578947368421,81.85672514619883,20150976,신과함께-죄와 벌,926864200,123571,891,3514,684
23,2018-01-12,57.24516999999999,76.36986301369862,81.2054794520548,20150976,신과함께-죄와 벌,1231166700,146494,920,3623,730
24,2018-01-13,57.54934,77.09731543624163,82.29865771812081,20150976,신과함께-죄와 벌,2606083100,310297,984,3720,1192
25,2018-01-14,25.25725,77.75933609958507,82.28215767634853,20150976,신과함께-죄와 벌,2416452300,288900,985,3641,1205
26,2018-01-15,22.13569,73.42271293375394,79.88958990536277,20150976,신과함께-죄와 벌,747381200,100000,910,3501,634
27,2018-01-16,23.97583,75.65543071161049,83.10861423220973,20150976,신과함께-죄와 벌,700064700,95401,948,3493,534
28,2018-01-17,59.04864,78.75695732838591,83.02411873840444,20150976,신과함께-죄와 벌,530117300,71179,619,2143,539
29,2018-01-18,35.46542,76.60550458715595,81.12385321100919,20150976,신과함께-죄와 벌,507995300,68978,645,2126,436
30,2018-01-19,37.15672,74.89451476793248,79.53586497890295,20150976,신과함께-죄와 벌,634859200,76062,645,2129,237
31,2018-01-20,47.69712,72.20779220779221,80.85714285714286,20150976,신과함께-죄와 벌,1249720800,149485,650,2127,385
