0,1,2
20181218,8,언제 쯤 내 순수함이 사라져 도라애몽이 시시해 질까  
20180929,6,도라에몽 목소리가 왜그러는 거죠;;;내용은 너무 재밌었는데..  
20180916,8,도라에몽은 최고에요.  
20180916,8,도라에몽은 최고에요.  
20180825,10,도라에몽이여 영원하라~~광팬이 올림..  
20180721,1,도라에몽이랑 진구 목소리가 바꼈네요ㅠ진구는 여자같고 도라에몽은 코맹맹이 소리 너무 심함..영화 스토리는 나쁘지 않았지만 도저히 더빙 목소리가 거슬려서 집중해서 보진 못했네요.  
20180716,4,엥간한 신동짜몽 영화는 성인감수성도 동심과 심금을 울려주는 감동이 있는데 이번작품은 기대이하..  
20180701,10,그냥 도라에몽은 짱!진구랑 도라에몽의 우정이 대단하다는걸 느낌.  
20180310,10,관람객재?미?잇?어?요 ?  
20180216,10,나도 도라에몽이 있었음 좋겠다 ㅋㅋㅋ 꿀잼  
20180213,8,관람객아이가 즐거워한 영화였음  
20180127,10,관람객도라에몽 극장판은 전부 다 봤어용.너무 재미있고 역시 매번 소재가 새롭고 신기하고좋았어요!!!!  
20180117,8,관람객도랑에몽 도라 도라 도라엠ㅇ  
20180116,7,관람객아이들이 좋아하네요~^^  
20180114,10,관람객아이들이 재밌게 잘보고 좋아하네요  
20180113,10,도라에몽  극장판중  재일  재밌었던것  같다  
20180113,8,관람객더빙이...예전분이 더 익숙해서 그런가 별로였어요  
20180113,9,관람객도라에몽 젬나게 잘봤어요~울아들 넘좋아해서 저도 좋네요~  
20180113,8,관람객파워포 사용자 디렉토리 오늘  
20180112,8,관람객약간길어 지루했지만 7살아들은 재밌어했어요  
20180112,10,관람객어두운곳에서 무서워하면서도 잘 보고나온 영화 ㅋㅋ 아이들이 싫어할 수 없죠  
20180111,10,관람객도라에몽은 절대 배신하지않죠!  
20180111,10,관람객아이들의 친구 도라에몽~~ 꼭 보시길 강추♡  
20180110,6,관람객재미있게봤어요~ㄸ?부브고싶아오ㅡ  
20180107,7,관람객딸램이 도라에몽 팬입니다~재밋엇다구하네용 ㅎㅎ  
20180106,7,관람객아들이 재미있다고하네요^^  
20180105,10,관람객딸아이들이 재밌게 봤다네요  
20180104,10,관람객언제나 실망시키지 않는 영화입니다 도라에몽은 역쉬 짱!아들도 엄마도 즐겁게 봤습니다^^  
20180103,10,관람객재밌네요~열자채우기  
20180102,9,관람객추천합니다 재밋어요~  
20171227,10,관람객아이가 정말 재밋어햇는대 저두 재밌게봤네요^^  
20171227,10,관람객넘 재미있고 좋았어요 아주  
20171223,8,관람객재미있고 감동적이네요  
20171216,8,관람객영화가 재미있고 괜찮았어요  
