0,1,2
20190113,0.0,2.0
20190112,1.0,9.0
20190110,0.0,10.0
20190109,0.0,3.0
20190106,1.0,9.5
20190105,1.0,8.0
20190104,1.0,10.0
20190103,1.0,10.0
20190101,1.0,10.0
20181231,1.0,10.0
20181229,0.0,2.0
20181228,1.0,10.0
20181225,0.5,10.0
20181224,1.0,10.0
20181223,1.0,9.0
20181222,0.5,10.0
20181221,0.5,10.0
20181220,0.5,1.0
20181219,0.5,5.5
20181218,1.0,10.0
20181210,1.0,10.0
20181209,0.5,2.0
20181202,1.0,10.0
20181201,1.0,10.0
20181130,0.75,7.0
20181128,0.5,10.0
20181127,1.0,10.0
20181124,0.5,10.0
20181123,1.0,10.0
20181120,1.0,6.0
20181116,0.5,10.0
20181114,1.0,10.0
20181112,1.0,10.0
20181107,1.0,10.0
20181105,1.0,10.0
20181103,1.0,10.0
20181101,1.0,10.0
20181028,1.0,1.0
20181027,0.8333333333333334,8.0
20181026,1.0,10.0
20181022,0.5,1.0
20181020,1.0,9.0
20181019,1.0,8.0
20181017,0.5,7.0
20181016,1.0,10.0
20181015,0.0,1.0
20181010,1.0,10.0
20181009,1.0,9.5
20181008,1.0,10.0
20181007,0.8333333333333334,9.0
20181005,1.0,10.0
20181004,1.0,10.0
20180930,1.0,9.0
20180928,1.0,10.0
20180927,1.0,10.0
20180926,1.0,10.0
20180925,1.0,9.0
20180923,1.0,10.0
20180920,1.0,9.0
20180919,1.0,10.0
20180918,0.5,6.0
20180916,0.875,9.75
20180915,1.0,9.0
20180912,1.0,10.0
20180909,1.0,9.0
20180908,0.75,10.0
20180904,0.5,5.5
20180903,1.0,10.0
20180902,1.0,10.0
20180826,0.0,3.0
20180818,1.0,10.0
20180814,1.0,9.5
20180813,0.0,4.0
20180812,1.0,10.0
20180811,0.5,5.5
20180810,0.0,8.0
20180808,0.0,10.0
20180802,1.0,7.0
20180801,0.5,10.0
20180720,0.5,6.0
20180719,0.5,10.0
20180718,1.0,10.0
20180717,0.0,6.0
20180714,0.0,10.0
20180713,1.0,10.0
20180710,1.0,7.0
20180708,1.0,8.0
20180706,0.875,9.25
20180705,0.5,6.0
20180704,0.5,10.0
20180701,0.75,10.0
20180626,1.0,7.0
20180623,0.0,10.0
20180621,0.75,5.5
20180620,0.5,7.0
20180610,0.75,8.333333333333334
20180608,1.0,10.0
20180604,0.0,6.0
20180528,1.0,10.0
20180527,1.0,10.0
20180525,1.0,10.0
20180522,1.0,8.0
20180521,1.0,10.0
20180519,1.0,10.0
20180517,0.5,8.0
20180516,1.0,10.0
20180513,1.0,10.0
20180512,1.0,10.0
20180511,1.0,10.0
20180504,0.5,10.0
20180502,1.0,10.0
20180501,0.5,10.0
20180425,1.0,10.0
20180423,1.0,9.0
20180421,1.0,10.0
20180419,1.0,10.0
20180418,1.0,9.0
20180415,1.0,9.666666666666666
20180414,1.0,8.0
20180411,1.0,10.0
20180409,1.0,10.0
20180404,1.0,7.0
20180403,1.0,10.0
20180328,0.0,1.0
20180326,1.0,10.0
20180325,0.75,7.0
20180322,0.75,7.0
20180320,1.0,10.0
20180313,1.0,10.0
20180312,1.0,10.0
20180310,1.0,10.0
20180301,1.0,10.0
20180227,1.0,10.0
20180223,1.0,10.0
20180222,1.0,10.0
20180219,1.0,8.0
20180218,1.0,10.0
20180217,1.0,9.0
20180216,1.0,8.0
20180212,1.0,8.75
20180209,1.0,10.0
20180208,0.0,6.0
20180206,1.0,10.0
20180204,0.5,7.0
20180203,1.0,9.0
20180131,0.25,6.0
20180130,0.75,9.5
20180129,1.0,10.0
20180128,1.0,10.0
20180127,1.0,10.0
20180126,1.0,10.0
20180124,0.5,8.0
20180123,1.0,10.0
20180122,1.0,8.0
20180121,0.5,7.0
20180119,1.0,10.0
20180118,1.0,9.0
20180117,1.0,9.0
20180116,1.0,9.5
20180115,0.5,10.0
20180114,0.8333333333333334,9.333333333333334
20180113,0.5,6.0
20180112,0.75,9.0
20180111,0.875,9.5
20180110,0.8333333333333334,9.666666666666666
20180109,1.0,9.333333333333334
20180108,0.75,10.0
20180107,0.8333333333333334,6.333333333333333
20180106,0.8571428571428571,9.0
20180105,0.7857142857142857,9.142857142857142
20180104,0.8333333333333334,10.0
20180103,0.875,8.875
20180102,0.8333333333333334,9.666666666666666
20180101,1.0,9.833333333333334
20171231,0.8571428571428571,9.714285714285714
20171230,1.0,9.444444444444445
20171229,0.8214285714285714,8.642857142857142
20171228,1.0,9.5
20171227,0.9615384615384616,9.23076923076923
20171226,0.7,9.7
20171225,0.8888888888888888,9.055555555555555
20171224,0.9583333333333334,8.875
20171223,0.8529411764705882,9.058823529411764
20171222,0.9444444444444444,9.0
20171221,0.8846153846153846,9.0
20171220,0.9047619047619048,9.380952380952381
20171219,0.8333333333333334,9.416666666666666
20171218,0.9,9.533333333333333
20171217,0.9285714285714286,9.357142857142858
20171216,0.84,8.8
20171215,0.8809523809523809,8.904761904761905
20171214,0.9090909090909091,9.0
20171213,0.7619047619047619,8.142857142857142
20171212,0.8421052631578947,8.578947368421053
20171211,0.8333333333333334,8.606060606060606
20171210,0.9142857142857143,9.571428571428571
20171209,0.90625,8.96875
20171208,0.7833333333333333,8.666666666666666
20171207,0.9464285714285714,8.75
20171206,0.8428571428571429,8.657142857142857
20171205,0.9,9.14
20171204,0.94,9.38
20171203,0.9743589743589743,9.423076923076923
20171202,0.9558823529411765,9.544117647058824
20171201,0.8142857142857143,8.542857142857143
20171130,0.9166666666666666,9.285714285714286
20171129,0.9485294117647058,9.294117647058824
20171128,1.0,9.5
20171127,1.0,10.0
20171126,1.0,9.0
20171125,1.0,10.0
20171124,1.0,10.0
20171123,1.0,9.75
20171121,1.0,8.0
20171120,1.0,10.0
20171118,0.0,1.0
20171115,1.0,10.0
20171113,1.0,9.0
20171112,0.5,1.0
20171111,0.75,10.0
20171108,0.5,10.0
20171107,0.0,1.0
20171106,1.0,10.0
20171102,1.0,5.5
20171101,1.0,10.0
20171031,0.5,5.5
20171030,0.5,5.5
20171029,1.0,10.0
20171028,1.0,10.0
20171026,0.8333333333333334,10.0
20171024,0.8333333333333334,8.5
20171023,1.0,10.0
20171022,1.0,10.0
20171019,1.0,10.0
20171018,1.0,10.0
20171017,1.0,10.0
20171008,0.75,6.0
20171007,0.5,10.0
