0,1,2
20181213,1.0,10.0
20181114,1.0,10.0
20180925,0.5,1.0
20180922,0.5,5.5
20180826,0.0,1.0
20180803,0.5,7.0
20180730,0.0,7.0
20180728,1.0,10.0
20180705,1.0,9.0
20180606,0.0,1.0
20180525,0.5,9.0
20180518,0.0,6.0
20180507,0.75,8.5
20180426,1.0,7.5
20180325,1.0,10.0
20180226,1.0,1.0
20180225,1.0,10.0
20180215,0.0,2.0
20180212,1.0,10.0
20180131,1.0,6.0
20180126,1.0,10.0
20180125,1.0,7.0
20171215,1.0,10.0
20171209,0.75,9.25
20171124,1.0,10.0
20171025,1.0,10.0
20171010,1.0,10.0
20171008,0.5,10.0
20171004,0.5,7.5
20171001,0.3333333333333333,3.6666666666666665
20170930,0.3333333333333333,3.3333333333333335
20170929,1.0,9.0
20170927,1.0,10.0
20170926,1.0,8.0
20170925,1.0,10.0
20170924,0.3333333333333333,7.0
20170923,0.9,9.2
20170922,1.0,10.0
20170921,0.0,1.0
20170918,0.75,10.0
20170914,1.0,8.0
20170815,1.0,6.0
20170813,1.0,10.0
20170811,0.0,3.0
20170808,1.0,10.0
20170807,0.0,2.0
20170803,0.5,10.0
20170801,1.0,10.0
20170730,1.0,10.0
20170726,1.0,10.0
20170723,0.5,7.0
20170721,1.0,10.0
20170709,0.0,6.0
20170707,1.0,9.0
20170702,1.0,7.0
20170629,1.0,10.0
20170625,1.0,10.0
20170624,1.0,7.0
20170623,1.0,10.0
20170622,1.0,10.0
20170620,0.0,5.0
20170619,0.0,3.0
20170618,1.0,10.0
20170615,1.0,4.0
20170614,0.0,1.0
20170605,0.0,2.0
20170604,0.375,4.5
20170529,1.0,9.0
20170528,0.5,5.0
20170527,1.0,10.0
20170525,0.0,1.0
20170521,0.0,1.0
20170520,1.0,8.0
20170519,0.5,5.5
20170517,0.5,10.0
20170516,0.0,3.0
20170513,0.6666666666666666,9.0
20170512,1.0,8.0
20170509,0.5,6.75
20170508,0.5,3.0
20170507,1.0,7.0
20170505,0.0,9.0
20170502,0.5,9.0
20170501,0.0,3.0
20170429,1.0,8.0
20170426,0.0,7.0
20170424,0.5,6.0
20170423,0.5,10.0
20170417,0.0,1.0
20170414,1.0,10.0
20170413,0.75,10.0
20170410,1.0,10.0
20170408,0.0,1.0
20170406,0.6666666666666666,8.666666666666666
20170403,1.0,10.0
20170402,1.0,9.0
20170331,0.0,1.0
20170329,0.0,2.0
20170328,1.0,10.0
20170327,0.0,3.0
20170326,0.7857142857142857,6.428571428571429
20170325,0.875,8.0
20170322,0.0,1.0
20170321,0.5,9.0
20170319,0.625,7.75
20170318,0.5,4.0
20170316,1.0,7.5
20170315,0.5,6.5
20170314,0.5,5.0
20170313,1.0,7.5
20170312,0.625,8.0
20170311,0.0,3.0
20170310,0.25,8.0
20170309,0.75,8.5
20170308,0.75,9.75
20170307,0.0,3.5
20170306,0.4166666666666667,6.166666666666667
20170305,0.625,7.125
20170304,0.5416666666666666,6.416666666666667
20170303,0.5,6.75
20170302,0.9090909090909091,7.545454545454546
20170301,0.5,6.846153846153846
20170228,0.6304347826086957,6.608695652173913
20170227,0.5,6.5
20170226,0.4318181818181818,5.318181818181818
20170225,0.6896551724137931,7.551724137931035
20170224,0.65,6.5
20170223,1.0,9.8
20170222,0.8,9.433333333333334
20170221,0.7777777777777778,7.111111111111111
20170220,0.6071428571428571,6.071428571428571
20170219,0.9243697478991597,9.521008403361344
20170218,0.8854166666666666,9.270833333333334
20170217,0.883495145631068,9.21359223300971
20170216,0.9166666666666666,9.55072463768116
20170215,0.9210526315789473,9.228070175438596
