period,ratio
2017-08-10,59.61628
2017-08-11,53.18203
2017-08-12,63.89798
2017-08-13,16.72905
2017-08-14,54.56247
2017-08-15,100.0
2017-08-16,54.65605
2017-08-17,59.33551
2017-08-18,60.90313
2017-08-19,69.46654
2017-08-20,81.30556
2017-08-21,51.09967
2017-08-22,50.02339
2017-08-23,72.95273
2017-08-24,49.29808
2017-08-25,44.759
2017-08-26,51.98876
2017-08-27,55.45156
2017-08-28,17.99251
2017-08-29,14.97426
2017-08-30,15.06785
2017-08-31,13.68741
2017-09-01,13.40664
2017-09-02,29.94852
2017-09-03,41.3664
2017-09-04,21.87646
2017-09-05,16.91623
2017-09-06,14.43612
2017-09-07,11.37108
2017-09-08,15.55919
2017-09-09,24.9181
2017-09-10,23.30369
