집계날짜,검색량,리뷰,평점,영화코드,영화명,해당일매출액,일일관람객,일일스크린수,일일상영횟수
2017-12-20,100.0,89.61892247043362,96.46517739816031,20179462,위대한 쇼맨,306750400,40995,649,2736
2017-12-21,44.99123,84.78260869565217,96.73913043478262,20179462,위대한 쇼맨,337364700,44826,661,2642
2017-12-22,22.84739,86.63967611336031,95.93117408906885,20179462,위대한 쇼맨,470051302,56303,702,2578
2017-12-23,27.90284,83.5551330798479,95.24714828897335,20179462,위대한 쇼맨,832596629,98073,658,2123
2017-12-24,34.781009999999995,88.2861635220126,96.1635220125786,20179462,위대한 쇼맨,1271313300,148266,642,2072
2017-12-25,38.44052,85.61643835616438,95.3310502283105,20179462,위대한 쇼맨,1310888800,155795,638,1991
2017-12-26,35.90563,82.70392749244712,93.0513595166163,20179462,위대한 쇼맨,405082000,53836,658,2206
2017-12-27,22.08249,83.68869936034116,92.66524520255864,20179462,위대한 쇼맨,229170200,36053,424,821
2017-12-28,17.01385,81.4868804664723,91.2536443148688,20179462,위대한 쇼맨,222713700,29446,409,787
2017-12-29,17.24109,83.21917808219176,93.63013698630137,20179462,위대한 쇼맨,331952780,39483,411,787
2017-12-30,19.192420000000002,81.70731707317074,89.93031358885021,20179462,위대한 쇼맨,423910789,50258,407,756
2017-12-31,18.76725,83.97435897435899,92.66025641025641,20179462,위대한 쇼맨,484599600,57668,412,792
2018-01-01,19.080389999999998,81.91489361702128,94.04255319148935,20179462,위대한 쇼맨,509947700,60070,432,843
2018-01-02,15.35475,83.66336633663366,92.34323432343236,20179462,위대한 쇼맨,269239500,35177,444,949
2018-01-03,15.195910000000001,87.7906976744186,93.1782945736434,20179462,위대한 쇼맨,197451900,25851,366,833
2018-01-04,12.00952,85.4066985645933,95.07177033492823,20179462,위대한 쇼맨,186925500,24109,348,792
2018-01-05,12.0627,86.04651162790701,93.43023255813951,20179462,위대한 쇼맨,242077900,28042,346,799
2018-01-06,15.934679999999998,82.11382113821138,92.72357723577237,20179462,위대한 쇼맨,378607600,43965,353,751
2018-01-07,17.30722,85.0,90.56,20179462,위대한 쇼맨,345798300,40085,352,746
2018-01-08,12.00089,80.36649214659684,91.98952879581154,20179462,위대한 쇼맨,165805900,21194,368,818
2018-01-09,10.60016,80.68181818181817,92.84090909090908,20179462,위대한 쇼맨,165811700,21217,371,806
2018-01-10,10.1425,84.77011494252874,95.28735632183908,20179462,위대한 쇼맨,176585700,22621,377,832
2018-01-11,8.743139999999999,86.0248447204969,92.23602484472052,20179462,위대한 쇼맨,91539000,11648,203,362
2018-01-12,9.24739,82.75862068965517,92.55172413793105,20179462,위대한 쇼맨,131578400,15055,224,408
2018-01-13,15.015479999999998,88.59649122807018,95.20467836257308,20179462,위대한 쇼맨,215064700,24602,222,411
2018-01-14,10.90126,88.70056497175142,95.36723163841806,20179462,위대한 쇼맨,201040900,23253,232,420
2018-01-15,8.53317,83.48214285714286,93.30357142857142,20179462,위대한 쇼맨,106900300,13580,237,454
2018-01-16,8.51272,84.12162162162163,92.70270270270271,20179462,위대한 쇼맨,114508300,14645,234,459
2018-01-17,8.09368,86.60714285714286,93.48214285714286,20179462,위대한 쇼맨,50769300,6509,108,171
2018-01-18,6.61865,83.57142857142857,91.85714285714285,20179462,위대한 쇼맨,45546600,5824,108,156
2018-01-19,6.17644,89.65517241379308,94.3103448275862,20179462,위대한 쇼맨,61479700,7073,113,182
2018-01-20,7.57671,83.15789473684211,96.31578947368422,20179462,위대한 쇼맨,95174200,10982,121,198
