Unnamed: 0.1,Unnamed: 0.1.1,movieCd,movieNm,director,naverCd,naver_movieCd,ntz_see_score,spc_score,ntz_score
0,0,20165748,꾼,장창원,0,152385.0,8.32,4.4,7.63
1,1,20173581,기억의 밤,장항준,0,160399.0,8.41,5.67,8.16
2,2,20178581,오리엔트 특급 살인,케네스 브래너,0,154272.0,7.87,5.88,8.02
3,3,20161762,반드시 잡는다,김홍선,0,155411.0,8.12,6.5,7.51
4,4,20040695,이프 온리,길 정거,0,39440.0,9.24,6.0,9.08
5,5,20168221,저스티스 리그,잭 스나이더,0,116866.0,7.9,5.83,7.74
6,6,20179942,러빙 빈센트,도로타 코비엘라,0,144379.0,9.16,7.5,9.2
7,7,20175121,토르: 라그나로크,타이카 와이티티,0,134898.0,9.02,6.13,8.83
8,8,20174622,해피 데스데이,크리스토퍼 랜던,0,164932.0,8.32,0.0,8.22
9,9,20080349,버킷 리스트:죽기전에 꼭 하고싶은것들,롭 라이너,0,69102.0,0.0,5.5,9.08
10,10,20175223,래빗 스쿨,우테 폰 뮌쇼폴,0,166008.0,8.56,0.0,8.83
11,11,20174073,빅 배드 폭스,벤자민 레너,0,166807.0,9.05,7.0,8.82
12,12,20170272,산상수훈,유영의,0,164335.0,8.41,3.0,6.62
13,13,20175441,채비,조영준,0,162932.0,8.81,5.0,8.73
14,14,20175903,은혼,후쿠다 유이치,0,154594.0,8.52,0.0,7.3
15,15,20174585,메리와 마녀의 꽃,요네바야시 히로마사,0,159037.0,7.92,5.83,7.1
16,16,20173693,어쌔신: 더 비기닝,마이클 쿠에스타,0,100205.0,8.07,5.5,6.94
17,17,20174846,뽀로로 극장판 공룡섬 대모험,김현호,0,169349.0,9.21,0.0,9.17
18,18,20167904,라라랜드,데이미언 셔젤,0,134963.0,8.9,8.34,8.59
19,19,20170402,강철비,양우석,0,155665.0,8.73,7.18,8.35
20,20,20170443,스타워즈: 라스트 제다이,라이언 존슨,0,125488.0,7.8,7.71,6.59
21,21,20150976,신과함께-죄와 벌,김용화,0,85579.0,8.73,5.92,7.84
22,22,20175481,튤립 피버,저스틴 채드윅,0,125418.0,7.7,5.33,7.34
24,24,20000067,러브레터,이와이 슌지,0,19031.0,9.43,8.63,9.11
25,25,20170590,1987,장준환,0,158191.0,9.31,8.08,9.24
26,26,20179462,위대한 쇼맨,마이클 그레이시,0,106360.0,9.29,6.6,9.38
27,27,20030404,러브 액츄얼리,리차드 커티스,0,36843.0,9.22,7.0,8.97
28,28,20174965,극장판 포켓몬스터 너로 정했다!,유야마 쿠니히코,0,165722.0,8.91,6.0,8.85
29,29,20176082,몬스터 패밀리,호거 태프,0,163844.0,8.31,6.0,8.33
30,30,20176022,더 크리스마스,티모시 렉카트,0,168478.0,8.75,7.0,8.87
31,31,20176049,패터슨,짐 자무쉬,0,144975.0,8.51,8.2,8.32
32,32,20176947,원더,스티븐 크보스키,0,151196.0,9.43,6.86,9.42
33,33,20177479,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,모리와키 마코토,0,168501.0,8.25,4.0,8.14
34,34,20172742,범죄도시,강윤성,0,161242.0,9.28,6.0,9.14
35,35,20171024,너의 췌장을 먹고 싶어,츠키카와 쇼,0,159830.0,8.36,5.29,8.05
36,36,20173694,지오스톰,딘 데블린,0,129095.0,8.11,5.5,7.45
37,37,20164424,대장 김창수,이원태,0,154353.0,8.46,4.67,6.91
38,38,20070454,원스,존 카니,0,65998.0,9.17,7.5,8.99
39,39,20165450,남한산성,황동혁,0,150637.0,8.17,7.5,8.05
40,40,20176767,"나는 내일, 어제의 너와 만난다",미키 타카히로,0,157178.0,8.44,6.0,8.8
